order_id,customer,product_id,variant,order_date,due_date,is_rush,priority,quantity
O-00001,Becksbrauerei,P-KK,P-KK-V1,2024-01-06,2024-01-19,False,normal,4
O-00002,Becksbrauerei,P-KK,P-KK-V4,2024-01-01,2024-01-06,True,hoch,20
O-00003,Becksbrauerei,P-KK,P-KK-V2,2024-01-06,2024-01-24,False,normal,1
O-00004,"Rodriguez, Figueroa and Sanchez",P-KK,P-KK-V4,2024-01-03,2024-01-16,False,normal,11
O-00005,Becksbrauerei,P-KK,P-KK-V1,2024-01-04,2024-01-12,False,normal,9
O-00006,Becksbrauerei,P-KK,P-KK-V4,2024-01-05,2024-01-13,False,normal,18
O-00007,Doyle Ltd,P-DV,P-DV-V3,2024-01-05,2024-01-21,False,normal,2
O-00008,Becksbrauerei,P-KK,P-KK-V3,2024-01-01,2024-01-13,False,normal,15
O-00009,Becksbrauerei,P-DV,P-DV-V1,2024-01-03,2024-01-19,False,normal,3
O-00010,"Mcclain, Miller and Henderson",P-KK,P-KK-V2,2024-01-02,2024-01-21,False,normal,18
O-00011,Becksbrauerei,P-KK,P-KK-V3,2024-01-07,2024-01-13,False,normal,11
O-00012,Becksbrauerei,P-DV,P-DV-V2,2024-01-01,2024-01-12,False,normal,11
O-00013,Becksbrauerei,P-KK,P-KK-V4,2024-01-04,2024-01-23,False,normal,18
O-00014,Becksbrauerei,P-DV,P-DV-V3,2024-01-05,2024-01-23,False,normal,8
O-00015,Becksbrauerei,P-KK,P-KK-V4,2024-01-01,2024-01-07,False,normal,6
O-00016,Davis and Sons,P-DV,P-DV-V3,2024-01-01,2024-01-18,False,normal,17
O-00017,Becksbrauerei,P-DV,P-DV-V3,2024-01-07,2024-01-12,False,normal,18
O-00018,Becksbrauerei,P-DV,P-DV-V3,2024-01-03,2024-01-11,False,normal,1
O-00019,Becksbrauerei,P-DV,P-DV-V3,2024-01-07,2024-01-17,False,normal,10
O-00020,"Guzman, Hoffman and Baldwin",P-KK,P-KK-V2,2024-01-03,2024-01-13,False,normal,17
O-00021,Becksbrauerei,P-KK,P-KK-V3,2024-01-04,2024-01-09,True,hoch,10
O-00022,Becksbrauerei,P-KK,P-KK-V1,2024-01-02,2024-01-09,True,hoch,3
O-00023,Becksbrauerei,P-KK,P-KK-V2,2024-01-06,2024-01-26,False,normal,17
O-00024,Becksbrauerei,P-DV,P-DV-V1,2024-01-05,2024-01-16,False,normal,12
O-00025,Becksbrauerei,P-DV,P-DV-V3,2024-01-04,2024-01-12,False,normal,1
O-00026,Becksbrauerei,P-KK,P-KK-V2,2024-01-01,2024-01-08,False,normal,3
O-00027,Becksbrauerei,P-KK,P-KK-V3,2024-01-01,2024-01-22,False,normal,7
O-00028,Becksbrauerei,P-KK,P-KK-V4,2024-01-02,2024-01-22,False,normal,4
