week,type,target,impact,unit
8,machine_breakdown,WC-Stanze-01,3.7,hours
26,machine_breakdown,WC-Stanze-01,4.1,hours
29,machine_breakdown,WC-Stanze-01,5.2,hours
32,machine_breakdown,WC-Stanze-01,3.4,hours
22,material_shortage,Weissblech-Coil,10,days
35,material_shortage,Weissblech-Coil,9,days
,priority_change,O-00001,hoch,priority
,priority_change,O-00002,normal,priority
,priority_change,O-00005,hoch,priority
,priority_change,O-00008,hoch,priority
,priority_change,O-00010,hoch,priority
,priority_change,O-00012,hoch,priority
,priority_change,O-00014,hoch,priority
,priority_change,O-00016,hoch,priority
,priority_change,O-00018,hoch,priority
,priority_change,O-00023,hoch,priority
,priority_change,O-00024,hoch,priority
,priority_change,O-00025,hoch,priority
,priority_change,O-00026,hoch,priority
,priority_change,O-00028,hoch,priority
,priority_change,O-00034,hoch,priority
,priority_change,O-00036,hoch,priority
,priority_change,O-00039,hoch,priority
,priority_change,O-00040,hoch,priority
,priority_change,O-00042,hoch,priority
,priority_change,O-00044,hoch,priority
,priority_change,O-00045,hoch,priority
,priority_change,O-00049,hoch,priority
,priority_change,O-00051,hoch,priority
,priority_change,O-00053,hoch,priority
,priority_change,O-00057,hoch,priority
,priority_change,O-00061,hoch,priority
,priority_change,O-00064,hoch,priority
,priority_change,O-00067,hoch,priority
,priority_change,O-00069,hoch,priority
,priority_change,O-00070,hoch,priority
,priority_change,O-00074,hoch,priority
,priority_change,O-00075,hoch,priority
,priority_change,O-00076,hoch,priority
,priority_change,O-00077,hoch,priority
,priority_change,O-00079,hoch,priority
,priority_change,O-00081,hoch,priority
,priority_change,O-00083,hoch,priority
,priority_change,O-00085,hoch,priority
,priority_change,O-00089,normal,priority
,priority_change,O-00091,hoch,priority
,priority_change,O-00092,hoch,priority
,priority_change,O-00093,hoch,priority
,priority_change,O-00096,hoch,priority
,priority_change,O-00098,hoch,priority
,priority_change,O-00107,hoch,priority
,priority_change,O-00109,hoch,priority
,priority_change,O-00110,hoch,priority
,priority_change,O-00116,hoch,priority
,priority_change,O-00118,hoch,priority
,priority_change,O-00120,hoch,priority
,priority_change,O-00123,hoch,priority
,priority_change,O-00127,hoch,priority
,priority_change,O-00129,hoch,priority
,priority_change,O-00130,hoch,priority
,priority_change,O-00134,normal,priority
,priority_change,O-00136,hoch,priority
,priority_change,O-00145,hoch,priority
,priority_change,O-00146,hoch,priority
,priority_change,O-00148,hoch,priority
,priority_change,O-00154,hoch,priority
,priority_change,O-00156,hoch,priority
,priority_change,O-00158,hoch,priority
,priority_change,O-00165,hoch,priority
,priority_change,O-00169,normal,priority
,priority_change,O-00174,hoch,priority
,priority_change,O-00175,normal,priority
,priority_change,O-00180,hoch,priority
,priority_change,O-00181,hoch,priority
,priority_change,O-00183,hoch,priority
,priority_change,O-00184,hoch,priority
,priority_change,O-00187,hoch,priority
,priority_change,O-00190,hoch,priority
,priority_change,O-00191,hoch,priority
,priority_change,O-00192,hoch,priority
,priority_change,O-00203,hoch,priority
,priority_change,O-00206,hoch,priority
,priority_change,O-00210,hoch,priority
,priority_change,O-00211,normal,priority
,priority_change,O-00213,hoch,priority
,priority_change,O-00214,hoch,priority
,priority_change,O-00217,hoch,priority
,priority_change,O-00221,hoch,priority
,priority_change,O-00226,hoch,priority
,priority_change,O-00234,hoch,priority
,priority_change,O-00237,hoch,priority
,priority_change,O-00247,hoch,priority
,priority_change,O-00249,hoch,priority
,priority_change,O-00256,hoch,priority
,priority_change,O-00257,hoch,priority
,priority_change,O-00268,hoch,priority
,priority_change,O-00274,hoch,priority
,priority_change,O-00281,hoch,priority
,priority_change,O-00283,hoch,priority
,priority_change,O-00287,hoch,priority
,priority_change,O-00288,hoch,priority
,priority_change,O-00293,hoch,priority
,priority_change,O-00295,hoch,priority
,priority_change,O-00297,hoch,priority
,priority_change,O-00300,hoch,priority
,priority_change,O-00306,hoch,priority
,priority_change,O-00320,hoch,priority
,priority_change,O-00321,hoch,priority
,priority_change,O-00323,hoch,priority
,priority_change,O-00325,hoch,priority
,priority_change,O-00331,hoch,priority
,priority_change,O-00332,hoch,priority
,priority_change,O-00333,hoch,priority
,priority_change,O-00335,hoch,priority
,priority_change,O-00338,hoch,priority
,priority_change,O-00341,normal,priority
,priority_change,O-00345,hoch,priority
,priority_change,O-00349,normal,priority
,priority_change,O-00351,hoch,priority
,priority_change,O-00352,hoch,priority
,priority_change,O-00371,normal,priority
,priority_change,O-00373,hoch,priority
,priority_change,O-00383,hoch,priority
,priority_change,O-00384,hoch,priority
,priority_change,O-00385,hoch,priority
,priority_change,O-00389,hoch,priority
,priority_change,O-00392,hoch,priority
,priority_change,O-00393,hoch,priority
,priority_change,O-00397,hoch,priority
,priority_change,O-00399,hoch,priority
,priority_change,O-00400,hoch,priority
,priority_change,O-00403,hoch,priority
,priority_change,O-00404,hoch,priority
,priority_change,O-00408,hoch,priority
,priority_change,O-00418,hoch,priority
,priority_change,O-00419,hoch,priority
,priority_change,O-00423,hoch,priority
,priority_change,O-00428,hoch,priority
,priority_change,O-00432,hoch,priority
,priority_change,O-00433,hoch,priority
,priority_change,O-00434,normal,priority
,priority_change,O-00435,hoch,priority
,priority_change,O-00439,hoch,priority
,priority_change,O-00445,hoch,priority
,priority_change,O-00446,hoch,priority
,priority_change,O-00449,hoch,priority
,priority_change,O-00450,hoch,priority
,priority_change,O-00453,normal,priority
,priority_change,O-00455,hoch,priority
,priority_change,O-00456,normal,priority
,priority_change,O-00463,hoch,priority
,priority_change,O-00471,hoch,priority
,priority_change,O-00481,hoch,priority
,priority_change,O-00482,hoch,priority
,priority_change,O-00483,hoch,priority
,priority_change,O-00484,hoch,priority
,priority_change,O-00487,hoch,priority
,priority_change,O-00489,normal,priority
,priority_change,O-00490,hoch,priority
,priority_change,O-00491,hoch,priority
,priority_change,O-00493,hoch,priority
,priority_change,O-00495,hoch,priority
,priority_change,O-00496,hoch,priority
,priority_change,O-00497,hoch,priority
,priority_change,O-00499,normal,priority
,priority_change,O-00500,hoch,priority
,priority_change,O-00502,hoch,priority
,priority_change,O-00505,hoch,priority
,priority_change,O-00508,hoch,priority
,priority_change,O-00511,hoch,priority
,priority_change,O-00515,hoch,priority
,priority_change,O-00517,hoch,priority
,priority_change,O-00518,hoch,priority
,priority_change,O-00523,hoch,priority
,priority_change,O-00536,hoch,priority
,priority_change,O-00537,hoch,priority
,priority_change,O-00538,hoch,priority
,priority_change,O-00541,hoch,priority
,priority_change,O-00542,hoch,priority
,priority_change,O-00544,hoch,priority
,priority_change,O-00549,hoch,priority
,priority_change,O-00550,normal,priority
,priority_change,O-00577,hoch,priority
,priority_change,O-00578,hoch,priority
,priority_change,O-00581,hoch,priority
,priority_change,O-00586,normal,priority
,priority_change,O-00587,hoch,priority
,priority_change,O-00588,hoch,priority
,priority_change,O-00592,hoch,priority
,priority_change,O-00593,hoch,priority
,priority_change,O-00596,normal,priority
,priority_change,O-00597,hoch,priority
,priority_change,O-00602,hoch,priority
,priority_change,O-00604,normal,priority
,priority_change,O-00607,hoch,priority
,priority_change,O-00609,hoch,priority
,priority_change,O-00611,normal,priority
,priority_change,O-00613,hoch,priority
,priority_change,O-00615,hoch,priority
,priority_change,O-00616,hoch,priority
,priority_change,O-00619,hoch,priority
,priority_change,O-00620,hoch,priority
,priority_change,O-00621,hoch,priority
,priority_change,O-00622,hoch,priority
,priority_change,O-00623,hoch,priority
,priority_change,O-00625,hoch,priority
,priority_change,O-00629,hoch,priority
,priority_change,O-00630,hoch,priority
,priority_change,O-00636,hoch,priority
,priority_change,O-00640,hoch,priority
,priority_change,O-00644,hoch,priority
,priority_change,O-00648,hoch,priority
,priority_change,O-00652,hoch,priority
,priority_change,O-00653,hoch,priority
,priority_change,O-00659,hoch,priority
,priority_change,O-00666,hoch,priority
,priority_change,O-00672,hoch,priority
,priority_change,O-00673,hoch,priority
,priority_change,O-00675,hoch,priority
,priority_change,O-00679,hoch,priority
,priority_change,O-00690,hoch,priority
,priority_change,O-00691,hoch,priority
,priority_change,O-00692,hoch,priority
,priority_change,O-00695,hoch,priority
,priority_change,O-00696,hoch,priority
,priority_change,O-00698,hoch,priority
,priority_change,O-00704,hoch,priority
,priority_change,O-00705,hoch,priority
,priority_change,O-00707,hoch,priority
,priority_change,O-00708,hoch,priority
,priority_change,O-00709,hoch,priority
,priority_change,O-00710,normal,priority
,priority_change,O-00717,hoch,priority
,priority_change,O-00718,hoch,priority
,priority_change,O-00720,hoch,priority
,priority_change,O-00722,hoch,priority
,priority_change,O-00730,normal,priority
,priority_change,O-00736,normal,priority
,priority_change,O-00738,hoch,priority
,priority_change,O-00740,hoch,priority
,priority_change,O-00741,hoch,priority
,priority_change,O-00745,hoch,priority
,priority_change,O-00750,hoch,priority
,priority_change,O-00752,normal,priority
,priority_change,O-00753,hoch,priority
,priority_change,O-00759,normal,priority
,priority_change,O-00760,normal,priority
,priority_change,O-00765,normal,priority
,priority_change,O-00776,hoch,priority
,priority_change,O-00777,hoch,priority
,priority_change,O-00779,hoch,priority
,priority_change,O-00782,hoch,priority
,priority_change,O-00789,normal,priority
,priority_change,O-00790,hoch,priority
,priority_change,O-00792,hoch,priority
,priority_change,O-00795,hoch,priority
,priority_change,O-00797,hoch,priority
,priority_change,O-00799,normal,priority
,priority_change,O-00800,normal,priority
,priority_change,O-00802,hoch,priority
,priority_change,O-00807,hoch,priority
,priority_change,O-00808,hoch,priority
,priority_change,O-00810,hoch,priority
,priority_change,O-00811,hoch,priority
,priority_change,O-00813,hoch,priority
,priority_change,O-00816,hoch,priority
,priority_change,O-00818,hoch,priority
,priority_change,O-00819,hoch,priority
,priority_change,O-00820,normal,priority
,priority_change,O-00822,hoch,priority
,priority_change,O-00828,hoch,priority
,priority_change,O-00831,hoch,priority
,priority_change,O-00843,normal,priority
,priority_change,O-00847,normal,priority
,priority_change,O-00850,hoch,priority
,priority_change,O-00852,hoch,priority
,priority_change,O-00855,hoch,priority
,priority_change,O-00857,hoch,priority
,priority_change,O-00867,hoch,priority
,priority_change,O-00869,normal,priority
,priority_change,O-00871,normal,priority
,priority_change,O-00877,normal,priority
,priority_change,O-00878,normal,priority
,priority_change,O-00880,hoch,priority
,priority_change,O-00886,hoch,priority
,priority_change,O-00889,normal,priority
,priority_change,O-00892,hoch,priority
,priority_change,O-00895,hoch,priority
,priority_change,O-00899,hoch,priority
,priority_change,O-00908,hoch,priority
,priority_change,O-00911,hoch,priority
,priority_change,O-00914,hoch,priority
,priority_change,O-00915,hoch,priority
,priority_change,O-00920,hoch,priority
,priority_change,O-00923,hoch,priority
,priority_change,O-00926,hoch,priority
,priority_change,O-00927,hoch,priority
,priority_change,O-00930,hoch,priority
,priority_change,O-00934,hoch,priority
,priority_change,O-00936,hoch,priority
,priority_change,O-00940,hoch,priority
,priority_change,O-00945,hoch,priority
,priority_change,O-00954,hoch,priority
,priority_change,O-00956,hoch,priority
,priority_change,O-00957,hoch,priority
,priority_change,O-00958,hoch,priority
,priority_change,O-00961,hoch,priority
,priority_change,O-00970,hoch,priority
,priority_change,O-00975,normal,priority
,priority_change,O-00978,hoch,priority
,priority_change,O-00982,hoch,priority
,priority_change,O-00983,normal,priority
,priority_change,O-00990,hoch,priority
,priority_change,O-00992,hoch,priority
,priority_change,O-00998,hoch,priority
,priority_change,O-01001,hoch,priority
,priority_change,O-01002,hoch,priority
,priority_change,O-01009,hoch,priority
,priority_change,O-01010,hoch,priority
,priority_change,O-01011,hoch,priority
,priority_change,O-01015,hoch,priority
,priority_change,O-01019,hoch,priority
,priority_change,O-01023,hoch,priority
,priority_change,O-01025,hoch,priority
,priority_change,O-01028,hoch,priority
,priority_change,O-01036,hoch,priority
,priority_change,O-01039,hoch,priority
,priority_change,O-01041,hoch,priority
,priority_change,O-01042,hoch,priority
,priority_change,O-01043,hoch,priority
,priority_change,O-01048,hoch,priority
,priority_change,O-01052,hoch,priority
,priority_change,O-01056,hoch,priority
,priority_change,O-01061,hoch,priority
,priority_change,O-01062,normal,priority
,priority_change,O-01065,hoch,priority
,priority_change,O-01067,hoch,priority
,priority_change,O-01069,hoch,priority
,priority_change,O-01073,hoch,priority
,priority_change,O-01076,hoch,priority
,priority_change,O-01077,hoch,priority
,priority_change,O-01078,hoch,priority
,priority_change,O-01082,hoch,priority
,priority_change,O-01085,hoch,priority
